session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,context_setting,context_language,context_country,context_state,vol_id
56122,01_17,NA,EXCERPTS,01,2014-05-19,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56123,02_17,NA,EXCERPTS,02,2014-05-29,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56124,03_17,NA,EXCERPTS,03,2014-06-22,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56125,04_17,NA,EXCERPTS,04,2014-06-26,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56126,05_17,NA,PRIVATE,05,NA,Male,Black or African American,Not Hispanic or Latino,English,Home,English,US,NY,696
56127,06_17,NA,EXCERPTS,06,2014-07-03,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56128,07_17,NA,EXCERPTS,07,2014-06-30,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56129,08_17,NA,EXCERPTS,08,2014-07-02,Female,More than one,Not Hispanic or Latino,English,Home,English,US,NY,696
56130,09_17,NA,EXCERPTS,09,2014-07-09,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56131,10_17,NA,SHARED,10,2014-07-11,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56132,11_17,NA,EXCERPTS,11,2014-07-22,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56133,12_17,NA,EXCERPTS,12,2014-07-31,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56134,13_17,NA,EXCERPTS,13,2014-08-03,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56135,14_17,NA,EXCERPTS,14,2014-08-09,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56136,15_17,NA,EXCERPTS,15,2014-08-14,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56137,16_17,NA,EXCERPTS,16,2014-08-28,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56138,17_17,NA,EXCERPTS,17,2014-09-09,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56139,18_17,NA,EXCERPTS,18,2014-09-04,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56140,19_17,NA,EXCERPTS,19,2014-09-13,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56141,20_17,NA,EXCERPTS,20,2014-09-22,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56142,21_17,NA,EXCERPTS,21,2014-10-02,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56143,22_17,NA,EXCERPTS,22,2014-10-07,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56144,23_17,NA,EXCERPTS,23,2014-10-04,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56145,24_17,NA,PRIVATE,24,NA,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56146,25_17,NA,EXCERPTS,25,2014-10-22,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56147,26_17,NA,EXCERPTS,26,2014-10-30,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56148,27_17,NA,EXCERPTS,27,2014-11-03,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56149,28_17,NA,EXCERPTS,28,2014-11-02,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56150,29_17,NA,EXCERPTS,29,2014-11-07,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56151,30_17,NA,EXCERPTS,30,2014-11-13,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56152,31_17,NA,EXCERPTS,31,2014-11-20,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56153,32_17,NA,SHARED,32,2014-11-20,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56154,33_17,NA,EXCERPTS,33,2014-11-24,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56155,34_17,NA,EXCERPTS,34,2014-11-23,Male,More than one,Not Hispanic or Latino,English,Home,English,US,NY,696
56156,35_17,NA,EXCERPTS,35,2014-12-15,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56157,36_17,NA,EXCERPTS,36,2014-12-07,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56158,37_17,NA,EXCERPTS,37,2014-12-08,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56159,38_17,NA,EXCERPTS,38,2014-12-06,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56160,39_17,NA,SHARED,39,2014-12-16,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56161,40_17,NA,EXCERPTS,40,2014-12-18,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56162,41_17,NA,EXCERPTS,41,2014-12-26,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56163,42_17,NA,EXCERPTS,42,2014-12-26,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56164,43_17,NA,SHARED,43,2015-01-06,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56165,44_17,NA,EXCERPTS,44,2015-01-31,Female,White,Not Hispanic or Latino,English,Home,English,US,NY,696
56166,45_17,NA,EXCERPTS,45,2015-01-29,Male,White,Hispanic or Latino,English,Home,English,US,NY,696
56167,46_17,NA,SHARED,46,2015-01-29,Male,White,Not Hispanic or Latino,English,Home,English,US,NY,696
