date,databrary_citations,datavyu_citations
2012-12-31,4,0
2013-12-31,8,1
2014-12-31,16,12
2015-12-31,38,37
2016-12-31,75,66
2017-12-01,128,120
2018-01-01,131,116
2018-02-01,132,118
2018-03-01,138,123
2018-04-01,147,130
2018-05-01,154,134
2018-06-01,159,136
2018-07-01,162,141
2018-08-01,169,145
2018-09-01,174,150
2018-10-01,183,156
2018-12-31,203,182
2019-01-04,197,168
2019-02-01,215,176
2019-03-01,227,189
2019-04-05,223,189
2019-05-01,227,196
2019-06-03,235,206
2019-07-01,243,219
2019-08-05,253,222
2019-09-03,262,232
2019-09-09,263,232
2019-09-16,270,235
2019-09-24,271,235
2019-10-01,272,236
2019-10-08,275,239
2019-10-14,277,243
2019-10-23,278,247
2019-10-30,282,253
2019-11-04,290,260
2019-11-20,295,266
2019-11-25,295,266
2019-12-03,298,268
2019-12-09,301,271
2019-12-16,302,272
2019-12-31,304,273
2020-01-06,314,278
2020-01-14,321,281
2020-01-22,318,261
2020-01-28,320,263
2020-01-30,321,264
2020-02-03,322,266
2020-02-10,326,244
2020-02-18,328,270
2020-02-24,329,297
2020-03-02,331,297
2020-03-19,333,301
2020-03-23,333,301
2020-03-30,334,302
2020-04-14,334,305
2020-04-27,336,307
2020-05-04,337,307
2020-05-11,342,309
2020-05-18,342,311
2020-05-27,345,311
2020-06-08,350,312
2020-06-15,351,312
2020-06-23,349,312
2020-06-29,353,315
2020-07-20,360,317
2020-07-27,361,318
2020-08-03,365,322
2020-08-10,367,325
2020-08-18,368,330
2020-08-25,368,330
2020-08-31,367,328
2020-09-08,369,335
2020-09-14,369,336
2020-09-21,340,337
2020-09-28,341,339
2020-10-05,344,341
2020-10-15,347,344
2020-10-19,347,346
2020-10-27,351,350
2020-11-03,354,351
2020-11-09,356,352
2020-11-16,356,352
2020-11-23,358,351
2020-12-01,358,353
2020-12-07,360,355
2020-12-14,362,356
2020-12-21,368,362
2021-01-06,374,369
2021-01-11,374,369
2021-01-19,374,370
2021-01-25,407,370
2021-02-01,411,373
2021-02-08,412,374
2021-02-15,414,378
2021-02-23,419,381
2021-03-02,421,383
2021-03-22,428,387
2021-03-30,430,390
2021-04-06,431,391
2021-04-13,431,393
2021-04-19,432,392
2021-04-26,434,394
2021-05-03,436,394
2021-05-11,440,397
2021-06-14,448,408
2021-06-30,454,409
2021-08-16,481,428
2021-08-31,487,430
2021-09-07,489,432
2021-09-13,489,433
2021-10-04,509,451
2021-10-11,513,451
2021-10-18,516,454
2021-10-26,517,456
2021-11-01,518,457
2021-11-15,519,460
2021-11-22,522,461
2021-11-29,525,461
2021-12-06,528,464
2021-12-13,532,464
2022-01-10,543,469
2022-01-19,545,477
2022-01-24,547,477
2022-01-31,553,480
2022-02-07,528,471
2022-02-14,530,472
2022-02-22,547,483
2022-03-07,552,484
2022-03-15,558,487
2022-03-21,560,490
2022-03-28,566,493
2022-04-04,568,497
2022-04-11,568,497
2022-04-18,572,500
2022-04-26,576,502
2022-05-02,581,505
2022-05-09,584,506
2022-05-16,586,507
2022-05-24,596,513
2022-05-31,601,515
2022-06-07,605,517
2022-06-13,606,517
2022-07-11,626,532
2022-07-18,629,534
2022-07-25,634,539
2022-08-01,639,542
2022-08-16,653,549
2022-08-23,654,549
2022-08-29,656,551
2022-09-06,661,554
2022-09-12,662,555
2022-09-19,668,559
2022-09-26,684,565
2022-10-03,690,569
2022-10-10,696,575
2022-10-17,696,577
2022-10-24,698,580
2022-10-31,702,582
2022-11-07,707,582
2022-11-14,709,582
2022-11-21,714,587
2022-11-28,716,589
2022-12-05,718,593
2022-12-12,720,599
2022-12-19,727,601
2023-01-03,730,603
2023-01-09,730,601
2023-01-17,735,605
2023-01-23,739,607
2023-01-30,734,610
2023-02-06,737,612
2023-02-13,742,616
2023-03-02,749,618
2023-03-13,756,622
2023-03-30,765,629
2023-04-03,765,629
2023-04-12,776,638
2023-04-17,777,638
2023-04-24,781,641
2023-05-01,793,647
