inst_id,inst_name,inst_url,n_auth_invest,daa,lat,lon
2,Staff,NA,0,FALSE,NA,NA
8,New York University (NYU),http://www.nyu.edu/,31,TRUE,40.72951339999999,-73.99646089999999
9,National Science Foundation (NSF),NA,0,FALSE,38.8016276,-77.0704465
10,National Institutes of Health (NIH),https://www.nih.gov/,0,FALSE,35.66065820000001,-97.4965672
12,"Pennsylvania State University, University Park",http://www.psu.edu,20,TRUE,40.8147955,-77.86531260000001
15,National Institute of Child Health and Human Development (NICHD),NA,0,FALSE,39.0292164,-77.13551009999999
43,"University of Wisconsin, Madison",https://www.wisc.edu/,10,TRUE,43.076592,-89.4124875
44,University of Michigan,https://umich.edu/,9,TRUE,42.2780436,-83.73822410000002
45,University of Rochester,https://www.rochester.edu/,4,TRUE,43.1305531,-77.62600329999998
46,Georgia State University,http://www.gsu.edu/,3,TRUE,33.753068,-84.3852819
47,Okinawa Institute of Science and Technology (OIST),NA,0,FALSE,26.4643027,127.8301869
49,University of Southern California,https://www.usc.edu/,2,TRUE,34.0223519,-118.28511700000001
50,Carnegie Mellon University (CMU),https://www.cmu.edu/,5,TRUE,40.4427314,-79.9429552
51,"Rutgers University, Newark",https://www.newark.rutgers.edu/,7,TRUE,40.741078,-74.1732736
52,"Rutgers University, New Brunswick",https://newbrunswick.rutgers.edu/,5,TRUE,40.5008186,-74.44739910000001
53,University of Miami,https://welcome.miami.edu/,3,TRUE,25.7904064,-80.21199279999996
54,University of Virginia,http://www.virginia.edu/,9,TRUE,38.0335529,-78.50797720000003
55,Indiana University,https://www.indiana.edu/,7,TRUE,39.1745704,-86.51294580000001
56,College of William & Mary,https://www.wm.edu/,1,TRUE,37.271674,-76.71337799999998
57,University of Texas at Austin,https://www.utexas.edu/,8,TRUE,30.2849185,-97.7340567
58,McMaster University,http://www.mcmaster.ca/,3,TRUE,43.260879,-79.91922540000002
59,University of Chicago,https://www.uchicago.edu/,7,TRUE,41.7886079,-87.59871329999999
